Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Pittsburgh-2009,1,1.14867,14.4667,0.533954,0.420829,0.67069,0.740395,0.0692124,0.104158,1.6,0.240101,0.936442,0.469272,0.9,N/A,N/A,N/A,0.166261,N/A
E Tenn St-2009,16,1.059,8.09677,0.515405,0.308532,0.717984,0.688252,0.0630435,0.112687,0.919048,0.247564,0.949791,0.481793,0.6774,N/A,N/A,N/A,0.182736,N/A
Oklahoma St-2009,8,1.1041,7.36667,0.542397,0.263527,0.742198,0.706055,0.0442021,0.10253,1.01872,0.290129,1.00515,0.499713,0.6667,N/A,N/A,N/A,0.167451,N/A
Tennessee-2009,9,1.07215,5.73333,0.509459,0.358238,0.672464,0.711968,0.0650406,0.0921985,1.2398,0.258338,0.993644,0.506678,0.6333,N/A,N/A,N/A,0.17892,N/A
Florida St-2009,5,0.974397,4.12903,0.486881,0.342733,0.725404,0.665099,0.101983,0.120025,0.78719,0.264787,0.91576,0.444759,0.7419,N/A,N/A,N/A,0.221725,N/A
Wisconsin-2009,12,1.05653,4.86207,0.502386,0.308261,0.723608,0.747712,0.0518834,0.0804812,1.22695,0.263133,0.976048,0.49005,0.6207,N/A,N/A,N/A,0.160962,N/A
Xavier-2009,4,1.0551,10.0667,0.532381,0.362431,0.678851,0.734286,0.0904872,0.0763588,0.889381,0.272779,0.910062,0.439385,0.8,N/A,N/A,N/A,0.21707,N/A
Portland St-2009,13,1.05899,5.07407,0.533968,0.33177,0.680617,0.696219,0.0536553,0.114356,1.12262,0.246797,0.986124,0.508384,0.6667,N/A,N/A,N/A,0.195204,N/A
UCLA-2009,6,1.15626,13.5161,0.573219,0.352459,0.71537,0.718931,0.0657812,0.119546,1.36464,0.24974,0.953464,0.502846,0.7742,N/A,N/A,N/A,0.175205,N/A
VCU-2009,11,1.05215,8.63636,0.521882,0.30426,0.704819,0.686654,0.0839355,0.111592,1.1122,0.28208,0.925949,0.449138,0.7273,N/A,N/A,N/A,0.181559,N/A
Villanova-2009,3,1.08188,10.5806,0.519231,0.351153,0.738441,0.723751,0.0573248,0.112028,1.16877,0.265614,0.933715,0.472785,0.8065,N/A,N/A,N/A,0.179335,N/A
American-2009,14,1.02008,5.7,0.535146,0.308446,0.651992,0.741243,0.0488771,0.0853155,1.02611,0.282972,0.929462,0.452444,0.7667,N/A,N/A,N/A,0.202956,N/A
Texas-2009,7,1.06181,7.3,0.505993,0.379451,0.736175,0.73235,0.0946186,0.0926498,1.09615,0.251521,0.932666,0.463927,0.7333,N/A,N/A,N/A,0.17233,N/A
Minnesota-2009,10,1.00893,4.86207,0.500645,0.343101,0.728682,0.692029,0.117726,0.123959,0.977612,0.264655,0.935183,0.467224,0.6897,N/A,N/A,N/A,0.210259,N/A
Duke-2009,2,1.09418,13.0645,0.50915,0.371681,0.72332,0.700513,0.0709382,0.121028,1.09896,0.253262,0.912641,0.474542,0.8065,N/A,N/A,N/A,0.172129,N/A
