Team1,Team2,Score
Xavier-2009,Portland St.-2009,18
UCLA-2009,VCU-2009,1
Villanova-2009,American-2009,13
Texas-2009,Minnesota-2009,14
Duke-2009,Binghamton-2009,24
Pittsburgh-2009,Oklahoma State-2009,8
Wisconsin-2009,Xavier-2009,-11
UCLA-2009,Villanova-2009,-20
Texas-2009,Duke-2009,-5
Pittsburgh-2009,Xavier-2009,-5
Villanova-2009,Duke-2009,23
Pittsburgh-2009,Villanova-2009,-2
North Carolina-2009,Radford-2009,43
LSU-2009,Butler-2009,4
Illinois-2009,Western Kentucky-2009,-4
Gonzaga-2009,Akron-2009,13
Arizona State-2009,Temple-2009,9
Syracuse-2009,Stephen F. Austin-2009,15
Clemson-2009,Michigan-2009,-3
Oklahoma-2009,Morgan State-2009,28
North Carolina-2009,LSU-2009,14
Western Kentucky-2009,Gonzaga-2009,-2
Arizona State-2009,Syracuse-2009,-11
Michigan-2009,Oklahoma-2009,-10
North Carolina-2009,Gonzaga-2009,21
Syracuse-2009,Oklahoma-2009,-13
North Carolina-2009,Oklahoma-2009,12
Michigan State-2009,Connecticut-2009,9
Villanova-2009,North Carolina-2009,-14
Michigan State-2009,North Carolina-2009,-17
UTSA-2011,Alabama State-2011,9
Clemson-2011,UAB-2011,18
UNC-Asheville-2011,Arkansas-Little Rock-2011,4
VCU-2011,USC-2011,13
Ohio State-2011,UTSA-2011,29
George Mason-2011,Villanova-2011,4
West Virginia-2011,Clemson-2011,8
Kentucky-2011,Princeton-2011,2
Xavier-2011,Marquette-2011,-11
Syracuse-2011,Indiana State-2011,17
Washington-2011,Georgia-2011,3
North Carolina-2011,Long Island-2011,15
Ohio State-2011,George Mason-2011,32
West Virginia-2011,Kentucky-2011,-8
Marquette-2011,Syracuse-2011,4
Washington-2011,North Carolina-2011,-3
Ohio State-2011,Kentucky-2011,-2
Marquette-2011,North Carolina-2011,-18
Kentucky-2011,North Carolina-2011,7
Duke-2011,Hampton-2011,42
Michigan-2011,Tennessee-2011,30
Arizona-2011,Memphis-2011,2
Texas-2011,Oakland-2011,4
Cincinnati-2011,Missouri-2011,15
Connecticut-2011,Bucknell-2011,29
Temple-2011,Penn State-2011,2
San Diego State-2011,Northern Colorado-2011,18
Duke-2011,Michigan-2011,2
Arizona-2011,Texas-2011,1
Cincinnati-2011,Connecticut-2011,-11
Temple-2011,San Diego State-2011,-7
Duke-2011,Arizona-2011,-16
Connecticut-2011,San Diego State-2011,7
Arizona-2011,Connecticut-2011,-2
