Team1,Team2,Score
Louisville-2009,Siena-2009,0.5625
Arizona-2009,Cleveland State-2009,0.625
Dayton-2009,Kansas-2009,0.242424242
USC-2009,Michigan State-2009,0.424242424
Louisville-2009,Arizona-2009,0.848214286
Kansas-2009,Michigan State-2009,0.424242424
Louisville-2009,Michigan State-2009,0.318181818
Connecticut-2009,Chattanooga-2009,1
BYU-2009,Texas A&M-2009,0.303030303
Purdue-2009,Northern Iowa-2009,0.544642857
Washington-2009,Mississippi State-2009,0.616071429
Marquette-2009,Utah State-2009,0.508928571
Missouri-2009,Cornell-2009,0.669642857
California-2009,Maryland-2009,0.303030303
Memphis-2009,Cal State Northridge-2009,0.598214286
Connecticut-2009,Texas A&M-2009,0.732142857
Purdue-2009,Washington-2009,0.517857143
Marquette-2009,Missouri-2009,0.439393939
Maryland-2009,Memphis-2009,0.212121212
Connecticut-2009,Purdue-2009,0.607142857
Missouri-2009,Memphis-2009,0.598214286
Connecticut-2009,Missouri-2009,0.5625
Pittsburgh-2009,East Tennessee State-2009,0.589285714
Oklahoma State-2009,Tennessee-2009,0.517857143
Florida St.-2009,Wisconsin-2009,0.46969697
Xavier-2009,Portland St.-2009,0.660714286
UCLA-2009,VCU-2009,0.508928571
Villanova-2009,American-2009,0.616071429
Texas-2009,Minnesota-2009,0.625
Duke-2009,Binghamton-2009,0.714285714
Pittsburgh-2009,Oklahoma State-2009,0.571428571
Wisconsin-2009,Xavier-2009,0.333333333
UCLA-2009,Villanova-2009,0.196969697
Texas-2009,Duke-2009,0.424242424
Pittsburgh-2009,Xavier-2009,0.424242424
Villanova-2009,Duke-2009,0.705357143
Pittsburgh-2009,Villanova-2009,0.46969697
North Carolina-2009,Radford-2009,0.883928571
LSU-2009,Butler-2009,0.535714286
Illinois-2009,Western Kentucky-2009,0.439393939
Gonzaga-2009,Akron-2009,0.616071429
Arizona State-2009,Temple-2009,0.580357143
Syracuse-2009,Stephen F. Austin-2009,0.633928571
Clemson-2009,Michigan-2009,0.454545455
Oklahoma-2009,Morgan State-2009,0.75
North Carolina-2009,LSU-2009,0.625
Western Kentucky-2009,Gonzaga-2009,0.46969697
Arizona State-2009,Syracuse-2009,0.333333333
Michigan-2009,Oklahoma-2009,0.348484848
North Carolina-2009,Gonzaga-2009,0.6875
Syracuse-2009,Oklahoma-2009,0.303030303
North Carolina-2009,Oklahoma-2009,0.607142857
Michigan State-2009,Connecticut-2009,0.580357143
Villanova-2009,North Carolina-2009,0.287878788
Michigan State-2009,North Carolina-2009,0.242424242
UTSA-2011,Alabama State-2011,0.580357143
Clemson-2011,UAB-2011,0.660714286
UNC-Asheville-2011,Arkansas-Little Rock-2011,0.535714286
VCU-2011,USC-2011,0.616071429
Ohio State-2011,UTSA-2011,0.758928571
George Mason-2011,Villanova-2011,0.535714286
West Virginia-2011,Clemson-2011,0.571428571
Kentucky-2011,Princeton-2011,0.517857143
Xavier-2011,Marquette-2011,0.333333333
Syracuse-2011,Indiana State-2011,0.651785714
Washington-2011,Georgia-2011,0.526785714
North Carolina-2011,Long Island-2011,0.633928571
Ohio State-2011,George Mason-2011,0.785714286
West Virginia-2011,Kentucky-2011,0.378787879
Marquette-2011,Syracuse-2011,0.535714286
Washington-2011,North Carolina-2011,0.454545455
Ohio State-2011,Kentucky-2011,0.46969697
Marquette-2011,North Carolina-2011,0.227272727
Kentucky-2011,North Carolina-2011,0.5625
Duke-2011,Hampton-2011,0.875
Michigan-2011,Tennessee-2011,0.767857143
Arizona-2011,Memphis-2011,0.517857143
Texas-2011,Oakland-2011,0.535714286
