Team1,Team2,Score
Oklahoma-2003,Syracuse-2003,0.25757575757575757
Syracuse-2003,Texas-2003,0.5982142857142857
Marquette-2003,Kansas-2003,0.0
Syracuse-2003,Kansas-2003,0.5267857142857143
Morehead St-2009,Alabama St-2009,0.6339285714285714
Louisville-2009,Morehead St-2009,0.6785714285714286
Ohio State-2009,Siena-2009,0.4696969696969697
Utah-2009,Arizona-2009,0.30303030303030304
Wake Forest-2009,Cleveland St-2009,0.2727272727272727
W Virginia-2009,Dayton-2009,0.3787878787878788
Kansas-2009,N Dakota St-2009,0.5892857142857143
Boston Col-2009,USC-2009,0.24242424242424243
Michigan St-2009,Rob Morris-2009,0.6339285714285714
Louisville-2009,Siena-2009,0.5625
Arizona-2009,Cleveland St-2009,0.625
Dayton-2009,Kansas-2009,0.24242424242424243
USC-2009,Michigan St-2009,0.42424242424242425
Louisville-2009,Arizona-2009,0.8482142857142857
Kansas-2009,Michigan St-2009,0.42424242424242425
Louisville-2009,Michigan St-2009,0.3181818181818182
Connecticut-2009,Chattanooga-2009,1.0
BYU-2009,Texas A&amp;M-2009,0.30303030303030304
Purdue-2009,N Iowa-2009,0.5446428571428571
Washington-2009,Miss State-2009,0.6160714285714286
Marquette-2009,Utah State-2009,0.5089285714285714
Missouri-2009,Cornell-2009,0.6696428571428572
California-2009,Maryland-2009,0.30303030303030304
Memphis-2009,Cal St Nrdge-2009,0.5982142857142857
Connecticut-2009,Texas A&amp;M-2009,0.7321428571428572
Purdue-2009,Washington-2009,0.5178571428571429
Marquette-2009,Missouri-2009,0.4393939393939394
Maryland-2009,Memphis-2009,0.21212121212121213
Connecticut-2009,Purdue-2009,0.6071428571428571
Missouri-2009,Memphis-2009,0.5982142857142857
Connecticut-2009,Missouri-2009,0.5625
Pittsburgh-2009,E Tenn St-2009,0.5892857142857143
Oklahoma St-2009,Tennessee-2009,0.5178571428571429
Florida St-2009,Wisconsin-2009,0.4696969696969697
Xavier-2009,Portland St-2009,0.6607142857142857
UCLA-2009,VCU-2009,0.5089285714285714
Villanova-2009,American-2009,0.6160714285714286
Texas-2009,Minnesota-2009,0.625
Duke-2009,Binghamton-2009,0.7142857142857143
Pittsburgh-2009,Oklahoma St-2009,0.5714285714285714
Wisconsin-2009,Xavier-2009,0.3333333333333333
UCLA-2009,Villanova-2009,0.19696969696969696
Texas-2009,Duke-2009,0.42424242424242425
Pittsburgh-2009,Xavier-2009,0.42424242424242425
Villanova-2009,Duke-2009,0.7053571428571428
Pittsburgh-2009,Villanova-2009,0.4696969696969697
N Carolina-2009,Radford-2009,0.8839285714285714
LSU-2009,Butler-2009,0.5357142857142857
Illinois-2009,W Kentucky-2009,0.4393939393939394
Gonzaga-2009,Akron-2009,0.6160714285714286
Arizona St-2009,Temple-2009,0.5803571428571429
Syracuse-2009,Ste F Austin-2009,0.6339285714285714
Clemson-2009,Michigan-2009,0.45454545454545453
Oklahoma-2009,Morgan St-2009,0.75
N Carolina-2009,LSU-2009,0.625
W Kentucky-2009,Gonzaga-2009,0.4696969696969697
Arizona St-2009,Syracuse-2009,0.3333333333333333
Michigan-2009,Oklahoma-2009,0.3484848484848485
N Carolina-2009,Gonzaga-2009,0.6875
Syracuse-2009,Oklahoma-2009,0.30303030303030304
N Carolina-2009,Oklahoma-2009,0.6071428571428571
Michigan St-2009,Connecticut-2009,0.5803571428571429
Villanova-2009,N Carolina-2009,0.2878787878787879
Michigan St-2009,N Carolina-2009,0.24242424242424243
TX-San Ant-2011,Alabama St-2011,0.5803571428571429
Clemson-2011,UAB-2011,0.6607142857142857
NC-Asheville-2011,AR Lit Rock-2011,0.5357142857142857
VCU-2011,USC-2011,0.6160714285714286
Ohio State-2011,TX-San Ant-2011,0.7589285714285714
Geo Mason-2011,Villanova-2011,0.5357142857142857
W Virginia-2011,Clemson-2011,0.5714285714285714
Kentucky-2011,Princeton-2011,0.5178571428571429
Xavier-2011,Marquette-2011,0.3333333333333333
Syracuse-2011,Indiana St-2011,0.6517857142857143
Washington-2011,Georgia-2011,0.5267857142857143
N Carolina-2011,LIU-2011,0.6339285714285714
Ohio State-2011,Geo Mason-2011,0.7857142857142857
W Virginia-2011,Kentucky-2011,0.3787878787878788
Marquette-2011,Syracuse-2011,0.5357142857142857
Washington-2011,N Carolina-2011,0.45454545454545453
Ohio State-2011,Kentucky-2011,0.4696969696969697
Marquette-2011,N Carolina-2011,0.22727272727272727
Kentucky-2011,N Carolina-2011,0.5625
Duke-2011,Hampton-2011,0.875
Michigan-2011,Tennessee-2011,0.7678571428571428
Arizona-2011,Memphis-2011,0.5178571428571429
Texas-2011,Oakland-2011,0.5357142857142857
Cincinnati-2011,Missouri-2011,0.6339285714285714
Connecticut-2011,Bucknell-2011,0.7589285714285714
Temple-2011,Penn State-2011,0.5178571428571429
San Diego St-2011,N Colorado-2011,0.6607142857142857
Duke-2011,Michigan-2011,0.5178571428571429
Arizona-2011,Texas-2011,0.5089285714285714
Cincinnati-2011,Connecticut-2011,0.3333333333333333
Temple-2011,San Diego St-2011,0.3939393939393939
Duke-2011,Arizona-2011,0.25757575757575757
Connecticut-2011,San Diego St-2011,0.5625
Arizona-2011,Connecticut-2011,0.4696969696969697
Kansas-2011,Boston U-2011,0.6696428571428572
UNLV-2011,Illinois-2011,0.3333333333333333
Vanderbilt-2011,Richmond-2011,0.45454545454545453
Louisville-2011,Morehead St-2011,0.48484848484848486
Georgetown-2011,VCU-2011,0.22727272727272727
Purdue-2011,St Peters-2011,0.6964285714285714
Texas A&amp;M-2011,Florida St-2011,0.3939393939393939
Notre Dame-2011,Akron-2011,0.6160714285714286
Kansas-2011,Illinois-2011,0.625
Richmond-2011,Morehead St-2011,0.6517857142857143
VCU-2011,Purdue-2011,0.6607142857142857
Florida St-2011,Notre Dame-2011,0.625
Kansas-2011,Richmond-2011,0.6785714285714286
VCU-2011,Florida St-2011,0.5089285714285714
Kansas-2011,VCU-2011,0.3484848484848485
Pittsburgh-2011,NC-Asheville-2011,0.7053571428571428
Butler-2011,Old Dominion-2011,0.5178571428571429
Kansas St-2011,Utah State-2011,0.5446428571428571
Wisconsin-2011,Belmont-2011,0.625
St Johns-2011,Gonzaga-2011,0.2727272727272727
BYU-2011,Wofford-2011,0.5714285714285714
UCLA-2011,Michigan St-2011,0.5178571428571429
Florida-2011,UCSB-2011,0.75
Pittsburgh-2011,Butler-2011,0.48484848484848486
Kansas St-2011,Wisconsin-2011,0.42424242424242425
Gonzaga-2011,BYU-2011,0.16666666666666666
UCLA-2011,Florida-2011,0.3787878787878788
Butler-2011,Wisconsin-2011,0.5625
BYU-2011,Florida-2011,0.36363636363636365
Butler-2011,Florida-2011,0.5267857142857143
Kentucky-2011,Connecticut-2011,0.48484848484848486
VCU-2011,Butler-2011,0.3787878787878788
Connecticut-2011,Butler-2011,0.6071428571428571
Miss Val St-2012,W Kentucky-2012,0.48484848484848486
Lamar-2012,Vermont-2012,0.3181818181818182
BYU-2012,Iona-2012,0.5535714285714286
California-2012,S Florida-2012,0.3333333333333333
Kentucky-2012,W Kentucky-2012,0.6339285714285714
Iowa State-2012,Connecticut-2012,0.6160714285714286
Wichita St-2012,VCU-2012,0.45454545454545453
Indiana-2012,N Mex State-2012,0.6160714285714286
UNLV-2012,Colorado-2012,0.4393939393939394
Baylor-2012,S Dakota St-2012,0.5714285714285714
Notre Dame-2012,Xavier-2012,0.4393939393939394
Duke-2012,Lehigh-2012,0.42424242424242425
Kentucky-2012,Iowa State-2012,0.6428571428571428
VCU-2012,Indiana-2012,0.4696969696969697
Colorado-2012,Baylor-2012,0.24242424242424243
Xavier-2012,Lehigh-2012,0.6071428571428571
Kentucky-2012,Indiana-2012,0.6071428571428571
Baylor-2012,Xavier-2012,0.5446428571428571
Kentucky-2012,Baylor-2012,0.6071428571428571
Michigan St-2012,LIU-2012,0.6964285714285714
Memphis-2012,Saint Louis-2012,0.3939393939393939
New Mexico-2012,Lg Beach St-2012,0.5625
Louisville-2012,Davidson-2012,0.5625
Murray St-2012,Colorado St-2012,0.6517857142857143
Marquette-2012,BYU-2012,0.6785714285714286
Florida-2012,Virginia-2012,0.7321428571428572
Missouri-2012,Norfolk St-2012,0.4696969696969697
Michigan St-2012,Saint Louis-2012,0.5357142857142857
New Mexico-2012,Louisville-2012,0.45454545454545453
Murray St-2012,Marquette-2012,0.36363636363636365
Florida-2012,Norfolk St-2012,0.8035714285714286
Michigan St-2012,Louisville-2012,0.30303030303030304
Marquette-2012,Florida-2012,0.3484848484848485
Louisville-2012,Florida-2012,0.5357142857142857
Syracuse-2012,NC-Asheville-2012,0.5625
Kansas St-2012,S Mississippi-2012,0.5535714285714286
Vanderbilt-2012,Harvard-2012,0.5803571428571429
Wisconsin-2012,Montana-2012,0.7142857142857143
Cincinnati-2012,Texas-2012,0.5535714285714286
Florida St-2012,St Bonavent-2012,0.5267857142857143
Gonzaga-2012,W Virginia-2012,0.7053571428571428
Ohio State-2012,Loyola-MD-2012,0.6696428571428572
Syracuse-2012,Kansas St-2012,0.6428571428571428
Vanderbilt-2012,Wisconsin-2012,0.45454545454545453
Cincinnati-2012,Florida St-2012,0.5535714285714286
Gonzaga-2012,Ohio State-2012,0.3939393939393939
Syracuse-2012,Wisconsin-2012,0.5089285714285714
Cincinnati-2012,Ohio State-2012,0.2727272727272727
Syracuse-2012,Ohio State-2012,0.3939393939393939
N Carolina-2012,Vermont-2012,0.6696428571428572
Creighton-2012,Alabama-2012,0.5089285714285714
Temple-2012,S Florida-2012,0.2878787878787879
Michigan-2012,Ohio-2012,0.42424242424242425
San Diego St-2012,NC State-2012,0.2878787878787879
Georgetown-2012,Belmont-2012,0.6339285714285714
St Marys-2012,Purdue-2012,0.45454545454545453
Kansas-2012,Detroit-2012,0.6339285714285714
N Carolina-2012,Creighton-2012,0.625
S Florida-2012,Ohio-2012,0.4090909090909091
NC State-2012,Georgetown-2012,0.5267857142857143
Purdue-2012,Kansas-2012,0.45454545454545453
N Carolina-2012,Ohio-2012,0.5714285714285714
NC State-2012,Kansas-2012,0.45454545454545453
N Carolina-2012,Kansas-2012,0.30303030303030304
Louisville-2012,Kentucky-2012,0.3787878787878788
Ohio State-2012,Kansas-2012,0.4696969696969697
Kansas-2012,Kentucky-2012,0.3787878787878788
Middle Tenn-2013,St Marys-2013,0.30303030303030304
Liberty-2013,NC A&amp;T-2013,0.48484848484848486
Boise State-2013,La Salle-2013,0.36363636363636365
James Mad-2013,LIU-2013,0.6160714285714286
Louisville-2013,NC A&amp;T-2013,0.7767857142857143
Colorado St-2013,Missouri-2013,0.6071428571428571
Oklahoma St-2013,Oregon-2013,0.30303030303030304
Saint Louis-2013,N Mex State-2013,0.6785714285714286
Memphis-2013,St Marys-2013,0.5178571428571429
Michigan St-2013,Valparaiso-2013,0.5982142857142857
Creighton-2013,Cincinnati-2013,0.5357142857142857
Duke-2013,Albany-2013,0.6071428571428571
Louisville-2013,Colorado St-2013,0.7321428571428572
Oregon-2013,Saint Louis-2013,0.6517857142857143
Memphis-2013,Michigan St-2013,0.16666666666666666
Creighton-2013,Duke-2013,0.25757575757575757
Louisville-2013,Oregon-2013,0.5714285714285714
Michigan St-2013,Duke-2013,0.3484848484848485
Louisville-2013,Duke-2013,0.6964285714285714
Gonzaga-2013,Southern-2013,0.5535714285714286
Pittsburgh-2013,Wichita St-2013,0.22727272727272727
Wisconsin-2013,Mississippi-2013,0.3333333333333333
Kansas St-2013,La Salle-2013,0.4696969696969697
Arizona-2013,Belmont-2013,0.6517857142857143
New Mexico-2013,Harvard-2013,0.4090909090909091
Notre Dame-2013,Iowa State-2013,0.22727272727272727
