Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Northeastrn-2015,0.866666667,0.48675458,0.354154749,0.662737569,0.418419395,0.556958484,0.759172685,0.387461233,0.229729615,0.316910534,0.267960455,0.650316188,0.630366668,0.540287054,N/A,N/A,N/A,0.647053199,N/A
Wichita St-2015,0.4,0.591230015,0.633468876,0.459725435,0.622449664,0.426705105,0.779672325,0.463544748,0.485668601,0.576755709,0.551643207,0.26568435,0.359114476,0.816683246,N/A,N/A,N/A,0.191724097,N/A
Indiana-2015,0.6,0.721321041,0.432118401,0.696043099,0.567699536,0.510017151,0.477463551,0.32771737,0.24225563,0.413016383,0.48014839,0.621115784,0.572195904,0.449907631,N/A,N/A,N/A,0.343775053,N/A
Kansas-2015,0.066666667,0.498482903,0.451666808,0.402656469,0.632396311,0.540553143,0.463137765,0.52631756,0.347933199,0.342617936,0.52105034,0.510079038,0.328384746,0.679124627,N/A,N/A,N/A,0.447260611,N/A
N Mex State-2015,0.933333333,0.490518147,0.487831483,0.46463025,0.829345291,0.47519939,0.515953823,0.39583801,0.365948969,0.182396986,0.467997047,0.418051535,0.415401544,0.510018474,N/A,N/A,N/A,0.701723288,N/A
Wisconsin-2015,0,0.852783289,0.728277864,0.651805339,0.519913403,0.677808999,0.848082769,0.399144845,0.158397489,0.682634823,0.182207052,0.37341259,0.415606699,0.862441381,N/A,N/A,N/A,0.017615346,N/A
Coastal Car-2015,1,0.531771502,0.42200726,0.417460093,0.613887102,0.471963735,0.643011187,0.339441202,0.342464595,0.27825541,0.497119892,0.589565961,0.479813993,0.559045048,N/A,N/A,N/A,0.382065445,N/A
Oregon-2015,0.466666667,0.538802661,0.396931207,0.526520099,0.497453015,0.706706889,0.502027411,0.501837333,0.579101876,0.428597938,0.544400351,0.397696811,0.301416191,0.621003268,N/A,N/A,N/A,0.337302609,N/A
Oklahoma St-2015,0.533333333,0.393278095,0.374989698,0.452155758,0.329117403,0.602995617,0.370360799,0.577577879,0.551851915,0.259396099,0.735011136,0.505801096,0.422507367,0.411965326,N/A,N/A,N/A,0.443200624,N/A
Arkansas-2015,0.266666667,0.588166647,0.50347027,0.456808775,0.653894877,0.535537472,0.467357036,0.521195696,0.46843539,0.561570032,0.457852001,0.557267499,0.551064941,0.679124627,N/A,N/A,N/A,0.287391237,N/A
Wofford-2015,0.733333333,0.461226514,0.421550032,0.506072004,0.418295397,0.416625106,0.624724549,0.260831857,0.396279251,0.429729905,0.590217096,0.493163918,0.466503786,0.733551229,N/A,N/A,N/A,0.351350755,N/A
N Carolina-2015,0.2,0.589625394,0.547454186,0.478909295,0.798895413,0.442344107,0.490558325,0.452386193,0.347032199,0.537031711,0.587560962,0.485018578,0.347277656,0.541566008,N/A,N/A,N/A,0.396282758,N/A
